Bases	Contigs	Depth	N50
267548	42	0.06	178400
343266	42	0.07	178400
616626	41	0.13	202678
676542	40	0.15	202678
866058	38	0.19	210937
1052054	38	0.23	210937
1281663	37	0.28	210937
1482347	34	0.32	265730
1837855	34	0.40	265730
1935518	32	0.42	265730
2107962	31	0.46	356716
2260728	31	0.49	356716
2493763	29	0.54	356716
2590021	28	0.56	368137
2798911	26	0.61	382278
2900538	25	0.63	382278
3129947	24	0.68	414880
3228984	23	0.70	414880
3332139	22	0.73	652346
3415793	22	0.74	652346
3538734	22	0.77	652346
3668543	20	0.80	652346
3936061	21	0.86	637167
3986907	20	0.87	652346
4173524	20	0.91	652346
4261404	20	0.93	652346
4290705	20	0.93	652346
4364058	20	0.95	652346
4439548	20	0.97	652346
4591143	20	1.00	652346
4813037	20	1.05	652346
4924295	20	1.07	652346
5000166	17	1.09	706424
5154551	17	1.12	706424
5247395	17	1.14	706424
5317703	17	1.16	706424
5436869	17	1.18	706424
5558132	17	1.21	706424
5666187	16	1.23	706424
5704393	16	1.24	706424
5771028	16	1.26	706424
5857265	16	1.28	706424
6021564	16	1.31	706424
6128977	15	1.33	706424
6363283	15	1.39	706424
6430378	15	1.40	706424
6489982	15	1.41	706424
6575440	15	1.43	706424
6763834	15	1.47	706424
6930262	14	1.51	706424
6996668	14	1.52	706424
7143401	14	1.56	706424
7221202	14	1.57	706424
7326227	14	1.60	706424
7589458	13	1.65	706424
7645934	13	1.67	706424
7854793	12	1.71	1242951
7951524	11	1.73	1242951
8153046	11	1.78	1242951
8387617	11	1.83	1242951
8387617	10	1.83	1242951
8411820	10	1.83	1242951
8551705	10	1.86	1242951
8705857	10	1.90	1242951
8790239	10	1.91	1242951
8820356	10	1.92	1242951
9002542	10	1.96	1242951
9201844	10	2.00	1242951
9340215	10	2.03	1242951
9393674	10	2.05	1242951
9557209	10	2.08	1242951
9604339	10	2.09	1242951
9688489	10	2.11	1242951
9788469	10	2.13	1242951
9848244	10	2.14	1242951
9917660	10	2.16	1242951
10070025	10	2.19	1242951
10130865	10	2.21	1242951
10321875	10	2.25	1242951
10435431	9	2.27	1277411
10467253	8	2.28	1290055
10600107	8	2.31	1290055
10701253	8	2.33	1290055
10807672	8	2.35	1290055
10972922	8	2.39	1290055
11033825	8	2.40	1290055
11219159	8	2.44	1290055
11219159	8	2.44	1290055
11431338	7	2.49	1290432
11621857	7	2.53	1326460
11766371	7	2.56	1075637
11917944	6	2.60	1326379
12013681	6	2.62	1326379
12136016	6	2.64	1326379
12263587	6	2.67	1326379
12280005	6	2.67	1326379
12527438	6	2.73	1326379
12636958	6	2.75	1326379
12679569	6	2.76	1326379
12721595	6	2.77	1326379
12849154	6	2.80	1326379
12957785	6	2.82	1326379
13081895	6	2.85	1326379
13161315	6	2.87	1326379
13415012	6	2.92	1326379
13484962	6	2.94	1326379
13581452	6	2.96	1326379
13848301	6	3.02	1326379
13848301	6	3.02	1326379
13944359	6	3.04	1326379
14125870	6	3.08	1326379
14125870	6	3.08	1326379
14231810	6	3.10	1326379
14271654	6	3.11	1326379
14308128	6	3.12	1326379
14502413	6	3.16	1326379
14636384	6	3.19	1326379
14833180	6	3.23	1326379
14973404	6	3.26	1326379
15016918	6	3.27	1326379
15143441	6	3.30	1326379
15249791	6	3.32	1326379
15383479	6	3.35	1326379
15469950	6	3.37	1326379
15641215	6	3.41	1326379
15751992	6	3.43	1326379
15842488	6	3.45	1326379
15886698	6	3.46	1326379
15976286	6	3.48	1326379
16023718	6	3.49	1326379
16210871	6	3.53	1326379
16309878	6	3.55	1326379
16358738	6	3.56	1326379
16497442	6	3.59	1326379
16517369	6	3.60	1326379
16798500	6	3.66	1326379
16816030	6	3.66	1326379
16968719	6	3.70	1326379
17214639	6	3.75	1326379
17376334	6	3.78	1326379
17518611	6	3.82	1326379
17701563	6	3.85	1326379
17864004	6	3.89	1326379
17962196	5	3.91	3039649
17996635	5	3.92	3039649
18124678	5	3.95	3039649
18290450	5	3.98	3039649
18359985	5	4.00	3039649
18377318	5	4.00	3039649
18476946	5	4.02	3039649
18648436	5	4.06	3039649
18793465	5	4.09	3039649
18811369	5	4.10	3039649
18875499	5	4.11	3039649
19036226	5	4.15	3039649
19224691	5	4.19	3039649
19418454	5	4.23	3039649
19580940	5	4.26	3039649
19676747	5	4.29	3039649
19821585	5	4.32	3039649
19949857	5	4.34	3039649
20087541	5	4.37	3039649
20242107	5	4.41	3039649
20308862	5	4.42	3039649
20375895	5	4.44	3039649
20509676	5	4.47	3039649
20564942	5	4.48	3039649
20704403	5	4.51	3039649
20787659	5	4.53	3039649
20814306	5	4.53	3039649
20937316	5	4.56	3039649
20956325	5	4.56	3039649
21004748	5	4.57	3039649
21072014	5	4.59	3039649
21111669	5	4.60	3039649
21172226	5	4.61	3039649
21311890	5	4.64	3039649
21459883	5	4.67	3039649
21582261	5	4.70	3039649
21696054	5	4.72	3039649
21880857	5	4.76	3039649
21880857	5	4.76	3039649
