Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npGraph,2025052,217,0.38,156396
citrobacter-freundii_CAV1741,npGraph,19274024,121,3.61,398600
citrobacter-freundii_CAV1741,npGraph,31901945,89,5.98,922802
citrobacter-freundii_CAV1741,npGraph,43749857,85,8.2,2728233
citrobacter-freundii_CAV1741,npGraph,56023864,84,10.5,2728566
citrobacter-freundii_CAV1741,npGraph,68069722,85,12.76,3196883
citrobacter-freundii_CAV1741,npGraph,80249692,85,15.04,3196883
citrobacter-freundii_CAV1741,npGraph,92401106,85,17.32,3196883
citrobacter-freundii_CAV1741,npGraph,104018008,85,19.49,3196883
citrobacter-freundii_CAV1741,npGraph,116076601,85,21.75,3196883
citrobacter-freundii_CAV1741,npGraph,127962740,85,23.98,3196883
citrobacter-freundii_CAV1741,npGraph,136276606,13,25.54,5029414
citrobacter-freundii_CAV1741,npScarf,135738,44,0.03,170888
citrobacter-freundii_CAV1741,npScarf,208065,44,0.04,170888
citrobacter-freundii_CAV1741,npScarf,302712,44,0.06,170888
citrobacter-freundii_CAV1741,npScarf,394044,44,0.07,170888
citrobacter-freundii_CAV1741,npScarf,529305,42,0.1,275148
citrobacter-freundii_CAV1741,npScarf,572482,41,0.11,275148
citrobacter-freundii_CAV1741,npScarf,737336,38,0.14,275442
citrobacter-freundii_CAV1741,npScarf,824250,38,0.15,275442
citrobacter-freundii_CAV1741,npScarf,937655,38,0.18,275442
citrobacter-freundii_CAV1741,npScarf,1012438,38,0.19,275442
citrobacter-freundii_CAV1741,npScarf,1154062,38,0.22,275442
citrobacter-freundii_CAV1741,npScarf,1154062,37,0.22,284924
citrobacter-freundii_CAV1741,npScarf,1248758,36,0.23,284924
citrobacter-freundii_CAV1741,npScarf,1352443,36,0.25,284924
citrobacter-freundii_CAV1741,npScarf,1377124,36,0.26,284924
citrobacter-freundii_CAV1741,npScarf,1460308,36,0.27,284924
citrobacter-freundii_CAV1741,npScarf,1568599,35,0.29,331875
citrobacter-freundii_CAV1741,npScarf,1649406,35,0.31,331875
citrobacter-freundii_CAV1741,npScarf,1759097,35,0.33,331875
citrobacter-freundii_CAV1741,npScarf,1871955,35,0.35,331875
citrobacter-freundii_CAV1741,npScarf,2051926,35,0.38,331875
citrobacter-freundii_CAV1741,npScarf,2235410,35,0.42,331875
citrobacter-freundii_CAV1741,npScarf,2305566,35,0.43,331875
citrobacter-freundii_CAV1741,npScarf,2351890,35,0.44,331875
citrobacter-freundii_CAV1741,npScarf,2370531,35,0.44,331875
citrobacter-freundii_CAV1741,npScarf,2484317,35,0.47,331875
citrobacter-freundii_CAV1741,npScarf,2596929,34,0.49,331875
citrobacter-freundii_CAV1741,npScarf,2676527,32,0.5,332629
citrobacter-freundii_CAV1741,npScarf,2716923,31,0.51,332629
citrobacter-freundii_CAV1741,npScarf,2849385,31,0.53,332629
citrobacter-freundii_CAV1741,npScarf,2906477,31,0.54,332629
citrobacter-freundii_CAV1741,npScarf,3022002,31,0.57,332629
citrobacter-freundii_CAV1741,npScarf,3093554,31,0.58,332629
citrobacter-freundii_CAV1741,npScarf,3163656,31,0.59,332629
citrobacter-freundii_CAV1741,npScarf,3238875,31,0.61,332629
citrobacter-freundii_CAV1741,npScarf,3324177,31,0.62,332629
citrobacter-freundii_CAV1741,npScarf,3466486,29,0.65,365322
citrobacter-freundii_CAV1741,npScarf,3596037,29,0.67,365322
citrobacter-freundii_CAV1741,npScarf,3733134,27,0.7,365322
citrobacter-freundii_CAV1741,npScarf,3767405,27,0.71,365322
citrobacter-freundii_CAV1741,npScarf,3863548,27,0.72,365322
citrobacter-freundii_CAV1741,npScarf,3974567,26,0.74,365322
citrobacter-freundii_CAV1741,npScarf,3974567,26,0.74,365322
