Bases	Contigs	Depth	N50
347421	36	0.06	270451
498327	35	0.09	270451
737655	34	0.13	297265
875705	33	0.16	297265
1104910	33	0.20	297265
1104910	33	0.20	297265
1373895	32	0.25	378162
1439006	31	0.26	378162
1572304	30	0.29	434071
1744391	30	0.32	434071
1893564	29	0.35	434071
1961334	29	0.36	434071
2107721	29	0.38	434071
2360387	28	0.43	434071
2415379	28	0.44	434071
2608938	28	0.48	434071
2778743	26	0.51	455654
2913630	26	0.53	455654
2968349	26	0.54	455654
3097925	26	0.57	455654
3370649	26	0.62	455654
3420938	26	0.62	455654
3527536	26	0.64	455654
3626543	26	0.66	455654
3939907	25	0.72	549233
4062274	24	0.74	549233
4208897	24	0.77	549233
4410282	24	0.80	549233
4603540	23	0.84	622966
4636841	23	0.85	622966
4829942	22	0.88	622966
4910589	22	0.90	622966
4987539	22	0.91	622966
5246888	22	0.96	622966
5326815	22	0.97	622966
5459845	22	1.00	622966
5672494	22	1.04	622966
5853525	21	1.07	622966
5913836	20	1.08	622966
6093137	19	1.11	622966
6167485	19	1.13	622966
6258423	19	1.14	622966
6291088	19	1.15	622966
6418462	19	1.17	622966
6627828	18	1.21	622966
6741549	17	1.23	815020
6907377	17	1.26	815020
7060424	17	1.29	815020
7158082	16	1.31	1053548
7366576	14	1.34	1053548
7535683	14	1.38	1053548
7638456	13	1.39	1053548
7727859	13	1.41	1053548
7903028	12	1.44	1053548
7951395	12	1.45	1053548
8119317	12	1.48	1053548
8211173	12	1.50	1053548
8385048	12	1.53	1053548
8451501	12	1.54	1053548
8601855	12	1.57	1053548
8860884	11	1.62	1053548
8888751	11	1.62	1053548
9064814	11	1.65	1053548
9301903	11	1.70	1053548
9470980	11	1.73	1053548
9656933	11	1.76	1053548
9812423	11	1.79	1053548
9833691	11	1.79	1053548
9998319	10	1.82	1053548
10191414	10	1.86	1053548
10299436	10	1.88	1053548
10387007	10	1.90	1053548
10445026	10	1.91	1053548
10578407	10	1.93	1053548
10671403	10	1.95	1053548
10739163	10	1.96	1053548
10917702	10	1.99	1053548
11114283	10	2.03	1053548
11263359	10	2.06	1053548
11351289	10	2.07	1053548
11400844	10	2.08	1053548
11488602	10	2.10	1053548
11616816	10	2.12	1053548
11760139	10	2.15	1053548
11953517	10	2.18	1053548
12001944	10	2.19	1053548
12265481	9	2.24	1053548
12369462	9	2.26	1053548
12523950	9	2.29	1053548
12732051	9	2.32	1053548
12817959	9	2.34	1053548
12896981	9	2.35	1053548
13023756	9	2.38	1053548
13129544	9	2.40	1053548
13309521	9	2.43	1053548
13342700	9	2.43	1068589
13512453	9	2.47	1944013
13671179	9	2.49	1944013
13754121	9	2.51	1944013
13839287	9	2.53	1944013
13979030	9	2.55	1944013
14228792	9	2.60	1944013
14360901	9	2.62	1944013
14449078	9	2.64	1944013
14534361	9	2.65	1944013
14826133	8	2.71	4435399
14941481	8	2.73	4435399
15102130	8	2.76	4435399
15150618	8	2.76	4435399
15328664	8	2.80	4435399
15483347	8	2.83	4435399
15587050	8	2.84	4435399
15736657	8	2.87	4435399
15757848	8	2.88	4435399
15942203	8	2.91	4435399
15996488	8	2.92	4435399
16058551	8	2.93	4435399
16179787	8	2.95	4435399
16401352	8	2.99	4435399
16401352	8	2.99	4435399
16450855	8	3.00	4435399
16565285	8	3.02	4435399
16768142	8	3.06	4435399
16938814	8	3.09	4435399
16938814	8	3.09	4435399
17028597	8	3.11	4435399
17088658	8	3.12	4435399
17280768	8	3.15	4435399
17296059	8	3.16	4435399
17524533	8	3.20	4435399
17552537	8	3.20	4435399
17657765	8	3.22	4435399
17734303	8	3.24	4435399
17876676	8	3.26	4435399
18017703	8	3.29	4435399
18171320	8	3.32	4435399
18194105	8	3.32	4435399
18242090	8	3.33	4435399
18417017	8	3.36	4435399
