Bases	Contigs	Depth	N50
181673	18	0.03	419099
433318	17	0.08	463635
683090	17	0.13	463635
683090	17	0.13	463635
996339	16	0.18	463635
1153760	16	0.21	463635
1465385	15	0.27	545907
1754786	14	0.32	615618
1910215	13	0.35	750439
2040012	13	0.37	750439
2167936	13	0.40	750439
2324032	13	0.43	750439
2534303	13	0.47	750439
2600013	13	0.48	750439
2708151	13	0.50	750439
3002811	12	0.55	850076
3122814	12	0.57	850076
3218761	12	0.59	850076
3465257	10	0.64	1158562
3609216	10	0.66	1158562
3722573	10	0.68	1158562
3822118	10	0.70	1158562
3930779	10	0.72	1158562
4191114	9	0.77	1158562
4429374	9	0.81	1158562
4665552	9	0.86	1158562
4760327	9	0.87	1158562
4760327	9	0.87	1158562
4914258	9	0.90	1158562
4956559	9	0.91	1158562
5039561	9	0.93	1158562
5338861	9	0.98	1158562
5414992	8	1.00	1158562
5547948	8	1.02	1158562
5632654	8	1.04	1158562
5714488	8	1.05	1158562
5834292	8	1.07	1158562
5978137	8	1.10	1158562
6220563	8	1.14	1158562
6319414	8	1.16	1158562
6592135	8	1.21	1158562
6677585	8	1.23	1158562
6707259	8	1.23	1158562
6934510	8	1.27	1158562
7033904	8	1.29	1158562
7094616	8	1.30	1158562
7147917	8	1.31	1158562
7245229	8	1.33	1158562
7350351	8	1.35	1158562
7438425	8	1.37	1158562
7556598	8	1.39	1158562
7771852	8	1.43	1158562
7812759	8	1.44	1158562
8019777	8	1.47	1158562
8238533	8	1.51	1158562
8264570	8	1.52	1158562
8448662	8	1.55	1158562
8600880	7	1.58	1232289
8652672	7	1.59	1232289
8735954	7	1.61	1232289
8809460	7	1.62	1232289
9027802	7	1.66	1232289
9068706	7	1.67	1232289
9217410	7	1.69	1232289
9251266	7	1.70	1232289
9309378	7	1.71	1232289
9485318	7	1.74	1232289
9577413	7	1.76	1232289
9673590	7	1.78	1232289
9766344	7	1.79	1232289
9792411	6	1.80	1464015
9941561	6	1.83	1464015
10089974	6	1.85	1464015
10225921	5	1.88	1524783
10327848	5	1.90	1524783
10374122	5	1.91	1524783
10563733	5	1.94	1524783
10684533	5	1.96	1524783
10862896	5	2.00	1524783
10992949	5	2.02	1524783
11068442	5	2.03	1524783
11190675	5	2.06	1524783
11368399	5	2.09	1524783
11459102	5	2.11	1524783
11607403	5	2.13	1524783
11706898	4	2.15	2555503
11770875	4	2.16	2555503
11903360	4	2.19	2555503
12049804	4	2.21	2555503
12099981	4	2.22	2555503
12294201	4	2.26	2555503
12475949	4	2.29	2555503
12670823	4	2.33	2555503
12830120	4	2.36	2555503
12830120	4	2.36	2555503
12961508	4	2.38	2555503
13077697	4	2.40	2555503
13193694	4	2.42	2555503
13263854	4	2.44	2555503
13283197	4	2.44	2555503
13364057	4	2.46	2555503
13555196	4	2.49	2555503
13694038	4	2.52	2555503
13735796	4	2.52	2555503
13954111	4	2.56	2555503
14169994	4	2.60	2555503
14354192	4	2.64	2555503
14505507	4	2.67	2555503
14695974	4	2.70	2555503
14739542	4	2.71	2555503
14883591	4	2.74	2555503
14910615	4	2.74	2555503
14969193	4	2.75	2555503
15100368	4	2.78	2555503
15286013	4	2.81	2555503
15416871	4	2.83	2555503
15647952	4	2.88	2555503
15687846	4	2.88	2555503
15840791	4	2.91	2555503
15950023	4	2.93	2555503
16010348	4	2.94	2555503
16131499	4	2.96	2555503
16233319	4	2.98	2555503
16385067	4	3.01	2555503
16557163	4	3.04	2555503
16602375	4	3.05	2555503
16734193	4	3.08	2555503
16903921	4	3.11	2555503
17075797	4	3.14	2555503
17225956	4	3.17	2555503
17225956	4	3.17	2555503
17362970	4	3.19	2555503
17468420	4	3.21	2555503
17538638	4	3.22	2555503
17708376	4	3.25	2555503
17828596	4	3.28	2555503
17927989	4	3.29	2555503
18154777	4	3.34	2555503
18255381	4	3.36	2555503
18349945	4	3.37	2555503
18476992	4	3.40	2555503
18641671	4	3.43	2555503
18776565	4	3.45	2555503
18869235	3	3.47	5248978
19002376	3	3.49	5248978
19150403	3	3.52	5248978
19279668	3	3.54	5248978
19314277	3	3.55	5248978
19396462	3	3.56	5248978
19566953	3	3.60	5248978
19772569	3	3.63	5248978
19869811	3	3.65	5248978
20001692	3	3.68	5248978
20067545	3	3.69	5248978
20166335	3	3.71	5248978
20257329	3	3.72	5248978
20331819	3	3.74	5248978
20534232	3	3.77	5248978
20659555	3	3.80	5248978
20690472	3	3.80	5248978
20885489	3	3.84	5248978
20885489	3	3.84	5248978
21097519	3	3.88	5248978
21184736	3	3.89	5248978
21250739	3	3.91	5248978
21383418	3	3.93	5248978
21517949	3	3.95	5248978
21548487	3	3.96	5248978
21624906	3	3.97	5248978
21794754	3	4.01	5248978
21970849	3	4.04	5248978
22018519	3	4.05	5248978
22096400	3	4.06	5248978
22249088	3	4.09	5248978
22335611	3	4.11	5248978
22400056	3	4.12	5248978
22503510	3	4.14	5248978
22610421	3	4.16	5248978
22727531	3	4.18	5248978
22817337	3	4.19	5248978
22985733	3	4.22	5248978
23054755	3	4.24	5248978
23068756	3	4.24	5248978
23227191	3	4.27	5248978
23280295	3	4.28	5248978
23320152	3	4.29	5248978
23480953	3	4.32	5248978
23535775	3	4.33	5248978
23610804	3	4.34	5248978
23678409	3	4.35	5248978
23715927	3	4.36	5248978
23811426	3	4.38	5248978
23929592	3	4.40	5248978
24091254	3	4.43	5248978
24192571	3	4.45	5248978
24414752	3	4.49	5248978
24506534	3	4.50	5248978
24506534	3	4.50	5248978
24614247	3	4.52	5248978
24666506	3	4.53	5248978
24823672	3	4.56	5248978
24971089	3	4.59	5248978
25091179	3	4.61	5248978
25127521	3	4.62	5248978
25158256	3	4.62	5248978
25323080	3	4.65	5248978
25484921	3	4.68	5248978
25605838	3	4.71	5248978
25635745	3	4.71	5248978
25664555	3	4.72	5248978
25796524	3	4.74	5248978
25855119	3	4.75	5248978
25899588	3	4.76	5248978
26081157	3	4.79	5248978
26162824	3	4.81	5248978
26198247	3	4.81	5248978
26298424	3	4.83	5248978
26439013	3	4.86	5248978
26558561	3	4.88	5248978
26599622	3	4.89	5248978
26761402	3	4.92	5248978
26875617	3	4.94	5248978
26951917	3	4.95	5248978
27056398	3	4.97	5248978
27236464	3	5.01	5248978
27291802	3	5.02	5248978
27346320	3	5.03	5248978
27399856	3	5.04	5248978
27552914	3	5.06	5248978
27601740	3	5.07	5248978
27711776	3	5.09	5248978
27870002	3	5.12	5248978
27954352	3	5.14	5248978
27990690	3	5.14	5248978
28041461	3	5.15	5248978
28333452	3	5.21	5248978
28434108	3	5.23	5248978
28489288	3	5.24	5248978
28613201	3	5.26	5248978
28677364	3	5.27	5248978
28820735	3	5.30	5248978
28981675	3	5.33	5248978
29058335	3	5.34	5248978
29322667	3	5.39	5249612
29400472	3	5.40	5249612
29557835	3	5.43	5249612
29604466	3	5.44	5249612
29759474	3	5.47	5249612
29886850	3	5.49	5249612
29912011	3	5.50	5249612
30061969	3	5.53	5249612
30262647	3	5.56	5249612
30443924	3	5.60	5249612
30593917	3	5.62	5249612
30709889	3	5.64	5249612
30888591	3	5.68	5249612
30903404	3	5.68	5249612
31022490	3	5.70	5249612
31127294	3	5.72	5249612
31350495	3	5.76	5249612
31406289	3	5.77	5249612
31562591	3	5.80	5249612
31676118	3	5.82	5249612
31722928	3	5.83	5249612
31964333	3	5.87	5249612
32051488	3	5.89	5249612
32051488	3	5.89	5249612
32107089	3	5.90	5249612
32154442	3	5.91	5249612
32299291	3	5.94	5249612
32309865	3	5.94	5249612
32481456	3	5.97	5249612
32624096	3	6.00	5249612
32778799	3	6.02	5249612
32790729	3	6.03	5249612
32887917	3	6.04	5249612
33053440	3	6.07	5249612
33088984	3	6.08	5249612
33261600	3	6.11	5249612
33425086	3	6.14	5249612
33445694	3	6.15	5249612
33648740	3	6.18	5249612
33795488	3	6.21	5249612
33882650	3	6.23	5249612
33957818	3	6.24	5249612
34075850	3	6.26	5249612
34197736	3	6.29	5249612
34197736	3	6.29	5249612
34378250	3	6.32	5249612
34441070	3	6.33	5249612
34581130	3	6.36	5249612
34581130	3	6.36	5249612
34699268	3	6.38	5249612
34834840	3	6.40	5249612
34929775	3	6.42	5249612
35105985	3	6.45	5249612
35275636	3	6.48	5249612
35335878	3	6.49	5249612
35480362	3	6.52	5249612
35657588	3	6.55	5249612
35822811	3	6.58	5249612
35964776	3	6.61	5249612
36056799	3	6.63	5249612
36205756	3	6.65	5249612
36205756	3	6.65	5249612
36225639	3	6.66	5249612
36398258	3	6.69	5249612
36542986	3	6.72	5249612
36671778	3	6.74	5249612
36740170	3	6.75	5249612
36869117	3	6.78	5249612
37016968	3	6.80	5249612
37155841	3	6.83	5249614
37255047	3	6.85	5249614
37380005	3	6.87	5249614
37417547	3	6.88	5249614
37550817	3	6.90	5249614
37842526	3	6.96	5249614
37842526	3	6.96	5249614
37923207	3	6.97	5249614
38068445	3	7.00	5249614
38078844	3	7.00	5249614
38242625	3	7.03	5249614
38313795	3	7.04	5249614
38353486	3	7.05	5249614
38498122	3	7.08	5249614
38520528	3	7.08	5249614
38710504	3	7.11	5249614
38710504	3	7.11	5249614
38827196	3	7.14	5249614
38919784	3	7.15	5249614
38952023	3	7.16	5249614
39044228	3	7.18	5249614
39162707	3	7.20	5249614
39162707	3	7.20	5249614
39354260	3	7.23	5249614
39505318	3	7.26	5249614
39686589	3	7.29	5249614
39792696	3	7.31	5249614
39936697	3	7.34	5249614
39958947	3	7.34	5249614
40076206	3	7.37	5249614
40319826	3	7.41	5249614
40452560	3	7.43	5249614
40598821	3	7.46	5249614
40743431	3	7.49	5249614
40776943	3	7.49	5249614
41006624	3	7.54	5249614
41166171	3	7.57	5249614
41230487	3	7.58	5249614
41286413	3	7.59	5249614
41367164	3	7.60	5249614
41489612	3	7.63	5249614
41581870	3	7.64	5249614
41716693	3	7.67	5249614
41851535	3	7.69	5249614
41879288	3	7.70	5249614
42010147	3	7.72	5249614
42023820	3	7.72	5249614
42158446	3	7.75	5249614
42227883	3	7.76	5249614
42324567	3	7.78	5249614
42439613	3	7.80	5249614
42497042	3	7.81	5249614
42586583	3	7.83	5249614
42652178	3	7.84	5249614
42775590	3	7.86	5249614
42888255	3	7.88	5249614
42970241	3	7.90	5249614
43156602	3	7.93	5249614
43156602	3	7.93	5249614
43176806	3	7.94	5249614
43378770	3	7.97	5249614
43470745	3	7.99	5249614
43510384	3	8.00	5249614
43702299	3	8.03	5249614
43786400	3	8.05	5249614
44030233	3	8.09	5249614
44093784	3	8.10	5249614
44107316	3	8.11	5249614
