Bases	Contigs	Depth	N50
135738	44	0.03	170888
208065	44	0.04	170888
302712	44	0.06	170888
394044	44	0.07	170888
529305	42	0.10	275148
572482	41	0.11	275148
737336	38	0.14	275442
824250	38	0.15	275442
937655	38	0.18	275442
1012438	38	0.19	275442
1154062	38	0.22	275442
1154062	37	0.22	284924
1248758	36	0.23	284924
1352443	36	0.25	284924
1377124	36	0.26	284924
1460308	36	0.27	284924
1568599	35	0.29	331875
1649406	35	0.31	331875
1759097	35	0.33	331875
1871955	35	0.35	331875
2051926	35	0.38	331875
2235410	35	0.42	331875
2305566	35	0.43	331875
2351890	35	0.44	331875
2370531	35	0.44	331875
2484317	35	0.47	331875
2596929	34	0.49	331875
2676527	32	0.50	332629
2716923	31	0.51	332629
2849385	31	0.53	332629
2906477	31	0.54	332629
3022002	31	0.57	332629
3093554	31	0.58	332629
3163656	31	0.59	332629
3238875	31	0.61	332629
3324177	31	0.62	332629
3466486	29	0.65	365322
3596037	29	0.67	365322
3733134	27	0.70	365322
3767405	27	0.71	365322
3863548	27	0.72	365322
3974567	26	0.74	365322
3974567	26	0.74	365322
4055792	26	0.76	365322
4127311	26	0.77	365322
4281062	24	0.80	399177
4416666	24	0.83	399177
4453522	24	0.83	399177
4522456	24	0.85	399177
4656626	23	0.87	399177
4746869	23	0.89	399177
4853124	22	0.91	399177
4954063	21	0.93	512739
5071748	21	0.95	512739
5203182	21	0.98	512739
5270266	21	0.99	512739
5363597	21	1.01	512739
5480226	21	1.03	512739
5540167	21	1.04	512739
5657919	21	1.06	512739
5779958	21	1.08	512739
5906626	20	1.11	512739
5993521	20	1.12	512739
6169648	19	1.16	512739
6227686	19	1.17	512739
6259845	19	1.17	512739
6419185	19	1.20	512739
6532748	19	1.22	512739
6717141	19	1.26	529594
6791512	19	1.27	529594
6896029	19	1.29	529594
7074737	18	1.33	529594
7195014	18	1.35	529594
7342299	18	1.38	529594
7405953	18	1.39	529594
7558647	18	1.42	529594
7589669	18	1.42	529594
7706596	17	1.44	529594
7784639	17	1.46	529594
7890946	17	1.48	529594
8030276	17	1.50	529594
8081402	17	1.51	529594
8205454	17	1.54	529594
8228961	17	1.54	529594
8303660	17	1.56	529594
8421123	17	1.58	529594
8481814	17	1.59	529594
8674844	17	1.63	529594
8706213	17	1.63	529594
8823507	16	1.65	822037
8886058	16	1.67	822037
9016384	16	1.69	822037
9138928	16	1.71	822037
9260822	16	1.74	822037
9418694	15	1.77	822037
9610317	15	1.80	822037
9727206	15	1.82	822037
9762411	15	1.83	822037
9945955	15	1.86	822037
10042503	15	1.88	822037
10146300	15	1.90	822037
10267660	15	1.92	822037
10316689	15	1.93	822037
10450289	15	1.96	822037
10542665	14	1.98	840327
10682343	14	2.00	840327
10765710	14	2.02	840327
10898932	14	2.04	840327
10927995	14	2.05	840327
11065783	14	2.07	840327
11236346	14	2.11	840327
11302323	14	2.12	840327
11394768	14	2.14	840327
11509234	14	2.16	840327
11629954	14	2.18	840327
11759812	14	2.20	840327
11826570	14	2.22	840327
11986405	14	2.25	840327
12122957	14	2.27	840327
12191383	14	2.28	840327
12264124	14	2.30	840327
12450184	14	2.33	840327
12572298	14	2.36	840327
12658542	14	2.37	840327
12800393	14	2.40	840327
12868085	14	2.41	840327
12932625	14	2.42	840327
13010376	14	2.44	840327
13108597	14	2.46	840327
13133262	14	2.46	840327
13208907	14	2.48	840327
13314161	14	2.50	840327
13442539	14	2.52	840327
13609263	14	2.55	840327
13658488	14	2.56	840327
13759376	14	2.58	840327
13787089	14	2.58	840327
13893647	14	2.60	840327
14060923	13	2.64	840327
14139256	13	2.65	840327
14258092	13	2.67	840327
14318244	12	2.68	840327
14467674	12	2.71	840327
14592345	12	2.73	840327
14734477	12	2.76	840327
14788771	12	2.77	840327
14858795	12	2.78	840327
14974638	12	2.81	840327
15151868	12	2.84	840327
15251410	12	2.86	840327
15287138	12	2.86	840327
15317001	12	2.87	840327
15433560	12	2.89	840327
15593308	12	2.92	840327
15741848	11	2.95	840327
15772866	11	2.96	840327
15924484	10	2.98	840327
16068961	10	3.01	840327
16256706	10	3.05	840327
16340233	10	3.06	840327
16528514	10	3.10	840327
16643699	10	3.12	840327
16643699	10	3.12	840327
16804440	10	3.15	840327
16804440	10	3.15	840327
16962095	10	3.18	840327
17078176	10	3.20	840327
17208564	10	3.22	840327
17345738	10	3.25	840327
17435610	10	3.27	840327
17550971	10	3.29	840327
17623269	10	3.30	840327
17623269	10	3.30	840327
17701656	10	3.32	840327
17882110	10	3.35	840327
18007928	10	3.37	840327
18133774	10	3.40	840327
18264037	10	3.42	840327
18370865	10	3.44	840327
18453760	10	3.46	840327
18515692	10	3.47	840327
18567878	10	3.48	840327
18655148	10	3.50	840327
18822839	10	3.53	840327
18883531	10	3.54	840327
19121418	10	3.58	840327
19205768	10	3.60	840327
19236642	10	3.61	840327
19381640	10	3.63	840327
19519567	10	3.66	840327
19702496	10	3.69	840327
19752684	10	3.70	840327
19884445	10	3.73	840327
20067007	10	3.76	840327
20149376	10	3.78	840327
20309402	10	3.81	840327
20414102	10	3.83	840327
20580163	10	3.86	840327
20714883	10	3.88	840327
20757700	10	3.89	840327
20881470	10	3.91	840327
21014547	10	3.94	840327
21095276	10	3.95	840327
21202492	10	3.97	840327
21372373	9	4.01	1241693
21469634	9	4.02	1241693
21536509	9	4.04	1241693
21711955	9	4.07	1241693
21845682	8	4.09	1241693
21995600	8	4.12	1241693
22144070	8	4.15	1241693
22250873	8	4.17	1241693
22283018	8	4.18	1241693
22311538	8	4.18	1241693
22448466	8	4.21	1241693
22548061	8	4.23	1241693
22635941	8	4.24	1241693
22721750	8	4.26	1241693
22853412	8	4.28	1241693
22992596	8	4.31	1241693
23166335	8	4.34	1241693
23226278	8	4.35	1241693
23290254	8	4.36	1241693
23408877	8	4.39	1241693
23521901	8	4.41	1241693
23700942	8	4.44	1241693
23807482	8	4.46	1241693
23868815	8	4.47	1241693
23997069	7	4.50	1241693
24146938	7	4.53	1241693
24238528	7	4.54	1241693
24321312	6	4.56	3768413
24418557	6	4.58	3768213
24470117	6	4.59	3768213
24609435	6	4.61	3768213
24755224	6	4.64	3768213
24853393	6	4.66	3768213
24888349	6	4.66	3768213
25021631	6	4.69	3768213
25097149	6	4.70	3768213
25162193	6	4.72	3768213
25261286	6	4.73	3768213
25330499	6	4.75	3768213
25402032	6	4.76	3768213
25566060	6	4.79	3768213
25698665	6	4.82	3768213
25745343	6	4.82	3768213
25832366	6	4.84	3768213
25878516	6	4.85	3768213
25998360	6	4.87	3768213
26135179	5	4.90	5010906
26292164	5	4.93	5010906
26388128	5	4.95	5010906
26458413	5	4.96	5010906
26604550	5	4.99	5010906
26725255	5	5.01	5010906
26850572	5	5.03	5010906
26962395	5	5.05	5010906
27109989	5	5.08	5010906
27235724	5	5.10	5010906
27235724	5	5.10	5010906
27368227	5	5.13	5010906
27432986	5	5.14	5010906
27601005	5	5.17	5010906
27658855	5	5.18	5010906
27782444	5	5.21	5010907
27859148	5	5.22	5010907
27960670	5	5.24	5010907
28059463	5	5.26	5010907
28158439	5	5.28	5010907
28287661	5	5.30	5010907
28411708	5	5.32	5010907
28568679	5	5.35	5010907
28756359	5	5.39	5010907
28781478	5	5.39	5010907
28925028	5	5.42	5010907
29018476	5	5.44	5010907
29107417	5	5.45	5010907
29141333	5	5.46	5010907
29263986	5	5.48	5010907
29351975	5	5.50	5013097
29373318	5	5.50	5013097
29471026	5	5.52	5013097
29608566	5	5.55	5013097
29675438	5	5.56	5013097
29753345	5	5.58	5013097
29838658	5	5.59	5013097
29987595	5	5.62	5013097
30091886	5	5.64	5013097
30144356	5	5.65	5013097
30269330	5	5.67	5013097
30502821	5	5.72	5013097
30576451	5	5.73	5013097
30643155	5	5.74	5013097
30821663	5	5.78	5013097
30855191	5	5.78	5013097
30953181	5	5.80	5013097
31097125	5	5.83	5013097
31145034	5	5.84	5013097
31263338	5	5.86	5013097
31306422	5	5.87	5013097
31420926	5	5.89	5013097
31551846	5	5.91	5013097
31705048	5	5.94	5013097
31859762	5	5.97	5013097
31917312	5	5.98	5013097
32003648	5	6.00	5013097
32115327	5	6.02	5013097
32295450	5	6.05	5013097
32457128	5	6.08	5013097
32529730	5	6.10	5013097
32681671	5	6.12	5013097
32792568	5	6.15	5013097
32804058	5	6.15	5013097
32945198	5	6.17	5013097
33056767	5	6.20	5013097
33224773	5	6.23	5013097
33388897	5	6.26	5013097
33485357	5	6.28	5013097
33554244	5	6.29	5013097
33707023	5	6.32	5013097
33818729	5	6.34	5013097
33866305	5	6.35	5013097
33919200	5	6.36	5013097
34106890	5	6.39	5013097
34169093	5	6.40	5013097
34273197	5	6.42	5013097
34367222	5	6.44	5013097
34547207	5	6.47	5013097
34640535	5	6.49	5013097
34751238	5	6.51	5013097
34898296	5	6.54	5013097
35041883	5	6.57	5013097
35107669	5	6.58	5013097
35209491	5	6.60	5013097
35276097	5	6.61	5013097
35378873	5	6.63	5013097
35485165	5	6.65	5013097
35665160	5	6.68	5013097
35685045	5	6.69	5013097
35792213	5	6.71	5013097
35912221	5	6.73	5013097
36118722	5	6.77	5013097
36227288	5	6.79	5013097
36357757	5	6.81	5013097
36489277	5	6.84	5013097
36698067	5	6.88	5013097
36698067	5	6.88	5013097
36764789	5	6.89	5013097
